"","female","Topic_study","parents","work","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q13_5","Q13_6","Q13_7","Q13_8"
"101",1,1,1,1,3,3,4,3,3,3,4,4,4,4
"102",1,1,1,1,4,5,3,2,4,4,4,4,5,4
"103",0,2,0,0,4,4,4,4,3,2,2,2,3,2
"104",1,1,0,1,4,3,4,1,2,2,2,3,3,4
"105",1,2,0,1,3,3,4,3,3,3,4,4,4,4
"106",0,1,1,1,2,4,4,4,2,2,4,3,4,3
"107",0,2,0,1,3,4,3,2,3,2,4,2,4,4
"108",1,1,0,0,2,3,3,1,1,1,5,5,4,5
"109",1,1,1,1,2,1,3,4,1,5,5,5,3,4
"110",1,1,0,1,4,4,4,2,2,3,4,2,3,2
"111",1,2,1,1,3,4,2,2,2,3,4,2,5,5
"112",1,2,1,1,4,3,3,2,3,3,4,4,4,4
"113",1,1,1,0,5,5,5,5,5,4,4,1,4,4
"114",1,1,0,1,2,4,3,2,2,3,4,2,3,2
"115",0,1,0,0,3,3,3,3,3,3,4,4,4,4
"116",0,2,1,1,2,1,1,1,1,1,2,2,4,1
"117",0,1,1,0,3,4,4,3,4,4,3,3,3,3
"118",1,1,0,0,4,2,3,2,4,3,2,4,3,2
"119",1,1,1,1,2,3,1,1,1,1,5,5,5,4
"120",1,1,1,1,1,1,2,3,1,2,3,4,5,4
"121",1,1,0,1,4,3,2,4,3,3,4,4,5,5
"122",0,1,0,1,4,5,5,2,2,2,5,2,4,5
"123",1,1,1,1,3,2,2,4,3,2,3,4,4,5
"124",0,1,1,1,3,3,4,3,2,2,4,4,3,3
"125",1,2,1,0,2,1,2,2,3,2,4,4,4,4
"126",0,2,0,1,2,4,4,3,1,4,2,2,2,2
"127",1,2,1,1,2,2,2,4,2,4,4,4,4,4
"128",0,2,0,1,3,4,3,4,2,4,1,2,4,4
"129",1,1,0,1,4,4,4,4,1,2,5,5,5,5
"130",1,2,0,1,3,3,3,2,3,4,2,3,3,4
"131",1,1,1,0,3,1,1,1,1,1,2,4,2,3
"132",0,2,1,1,4,2,3,4,4,4,5,4,4,5
"133",1,2,0,1,2,4,4,3,2,2,4,4,4,4
"134",1,1,0,1,2,2,3,4,2,4,4,2,2,2
"135",0,2,0,0,4,4,4,2,2,4,3,4,5,3
"136",0,2,0,0,3,4,2,5,1,4,4,4,4,3
"137",1,1,0,1,2,4,2,3,3,3,4,4,3,4
"138",0,1,0,1,3,4,4,4,4,2,3,4,4,3
"139",1,1,1,1,3,1,1,3,2,1,4,4,4,4
"140",0,2,0,1,1,2,2,1,1,1,4,4,5,4
"141",0,2,1,1,2,4,4,4,3,2,4,4,5,4
"142",0,2,1,1,2,4,4,3,3,3,4,3,4,4
"143",0,2,0,0,4,4,3,2,1,1,1,2,2,2
"144",1,2,0,1,2,2,2,2,2,2,3,4,4,4
"145",1,1,1,1,2,2,4,3,3,3,4,4,4,4
"146",1,2,0,1,3,2,4,3,2,3,2,2,2,2
"147",1,1,1,0,1,1,2,1,4,3,5,5,5,5
"148",0,2,0,1,3,4,5,3,3,2,2,3,2,1
"149",0,1,0,1,4,4,4,4,4,4,2,2,4,3
"150",1,1,0,0,1,1,5,4,4,3,3,3,1,1
"151",1,1,0,1,3,2,3,1,4,2,1,2,2,1
"152",0,1,0,1,4,4,4,4,3,4,5,5,5,5
"153",0,2,0,1,4,4,4,4,3,4,3,2,4,4
"154",0,1,0,1,4,3,3,4,2,4,3,4,4,4
"155",1,1,1,1,4,5,4,5,4,3,2,3,4,4
"156",1,1,0,0,4,2,4,2,2,2,4,4,4,4
"157",1,1,1,1,3,2,3,3,2,3,4,4,4,4
"158",0,1,1,1,4,4,4,3,3,4,3,3,2,3
"159",0,2,1,1,2,4,4,4,3,4,4,3,5,5
"160",0,1,1,1,2,1,2,3,2,3,3,4,3,3
"161",0,1,1,1,2,4,4,4,4,4,2,4,4,4
"162",0,2,1,1,3,4,4,3,3,4,3,2,4,4
"163",1,1,1,1,5,3,5,5,3,4,2,3,4,3
"164",1,1,1,1,3,3,3,3,3,3,4,3,3,3
"165",0,1,1,0,3,3,3,4,4,4,5,5,5,5
"166",0,2,1,1,3,3,2,2,4,2,4,2,3,2
"167",1,1,0,1,3,2,3,2,4,2,2,3,3,4
"168",0,2,0,1,2,2,2,2,4,2,4,4,4,4
"169",0,2,1,0,5,5,5,4,5,5,1,1,1,1
"170",1,1,1,1,2,3,3,3,2,3,3,3,4,4
"171",0,2,0,1,3,3,4,4,4,4,4,4,4,4
"172",1,1,1,1,3,2,2,2,2,4,4,4,4,4
"173",0,2,0,0,4,3,4,2,4,3,2,2,4,3
"174",0,2,1,1,4,5,4,5,4,5,4,4,5,5
"175",0,2,0,1,4,4,4,3,3,4,4,4,4,4
"176",1,1,1,0,2,2,3,2,2,2,5,4,4,4
"177",0,2,1,1,5,5,5,5,5,5,5,4,5,5
"178",1,2,1,1,3,4,5,3,2,4,4,5,4,2
"179",0,2,0,1,3,2,4,1,4,1,3,2,4,4
"180",0,1,0,0,4,4,4,5,4,5,5,4,4,4
"181",0,1,1,1,2,4,4,4,3,3,3,4,4,4
"182",0,1,1,1,4,3,4,4,3,3,1,2,3,2
"183",0,1,0,1,2,2,3,4,2,3,2,2,4,4
"184",1,2,1,1,4,4,4,3,2,3,3,4,4,4
"185",0,1,1,0,1,2,1,1,1,1,3,3,4,4
"186",0,1,1,1,4,2,4,4,3,4,4,4,4,4
"187",0,2,1,1,1,1,3,1,4,2,2,3,3,4
"188",0,1,0,0,3,4,4,4,3,1,4,5,4,5
"189",1,1,1,1,2,3,4,2,3,2,5,4,4,4
"190",1,2,0,1,2,3,2,2,4,2,2,3,3,4
"191",0,1,1,1,2,2,4,3,2,3,5,4,4,4
"192",0,2,0,1,2,2,2,4,2,2,4,4,2,4
"193",1,1,1,1,3,4,2,1,4,3,5,5,5,5
"194",0,1,0,0,3,4,4,4,3,3,4,5,5,5
"195",0,2,0,0,3,3,4,3,4,3,3,3,3,4
"196",1,2,0,1,4,3,2,3,3,3,3,2,4,4
"197",0,1,0,0,5,3,5,3,3,2,5,5,5,5
"198",0,2,0,0,3,4,4,2,3,2,3,2,2,4
"199",1,1,0,0,4,4,3,2,4,3,4,3,3,4
"200",0,2,0,1,2,4,4,5,4,4,4,4,4,5
"201",1,1,1,1,3,2,2,3,2,3,5,4,5,5
"202",0,1,0,0,4,2,4,3,3,3,3,3,3,4
"203",0,1,0,0,3,3,3,3,3,2,3,4,3,3
"204",1,1,0,1,3,4,4,3,3,2,3,4,2,4
"205",0,1,0,0,3,4,4,4,4,3,3,2,3,3
"206",0,1,0,1,1,2,4,2,2,2,4,4,4,4
"207",0,2,0,0,3,3,4,3,2,2,4,3,4,4
"208",1,1,0,1,2,3,3,3,2,2,3,2,3,4
"209",1,1,0,1,5,4,4,5,2,2,2,3,4,2
"210",1,1,1,1,2,2,1,1,4,1,4,3,5,5
"211",1,1,0,1,4,4,5,4,4,4,4,4,4,4
"212",0,1,0,0,4,4,4,4,3,3,3,4,4,4
