"","female","Topic_study","parents","work","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q13_5","Q13_6","Q13_7","Q13_8"
"536",0,2,1,1,3,4,4,4,3,3,3,3,4,4
"537",0,2,0,1,3,2,2,3,2,3,4,3,4,4
"538",0,2,0,1,2,2,4,4,4,4,4,4,5,5
"539",0,2,1,0,2,5,4,5,3,2,4,3,4,4
"540",1,2,0,1,2,3,2,4,1,3,4,4,5,5
"541",1,2,0,1,4,2,4,3,3,4,4,4,3,4
"542",0,2,0,1,2,2,4,5,2,4,2,4,1,1
"543",0,2,1,1,2,2,3,3,4,4,3,4,3,3
"544",0,2,0,0,4,4,4,3,2,2,3,3,2,4
"545",0,2,0,1,4,4,4,3,3,3,4,4,5,4
"546",0,2,0,1,1,4,4,3,3,2,2,3,4,5
"547",0,2,0,1,4,4,3,4,4,4,4,4,3,2
"548",0,2,1,0,3,5,5,4,2,3,3,3,3,4
"549",0,2,0,1,2,2,3,3,5,4,2,3,3,2
"550",0,2,0,0,2,3,3,2,3,4,3,2,4,4
"551",0,2,1,1,1,4,3,3,1,2,5,3,5,5
"552",0,2,1,1,4,4,4,4,3,4,4,4,3,4
"553",0,2,1,1,2,2,3,4,4,1,4,4,4,3
"554",0,2,1,1,2,4,3,4,3,3,4,4,2,5
"555",0,2,0,1,2,3,4,2,1,1,4,2,3,2
"556",0,2,1,1,2,3,3,2,2,4,5,3,4,4
"557",1,2,1,1,4,3,2,1,2,1,4,3,4,4
"558",1,2,1,1,2,1,1,3,2,3,4,3,4,4
"559",0,2,0,1,4,3,4,2,3,3,4,4,4,4
"560",1,2,1,1,3,2,2,5,2,3,3,4,2,3
"561",0,2,0,1,4,2,3,2,2,4,1,4,2,4
"562",0,2,0,1,4,2,3,2,2,2,4,3,4,4
"563",0,2,1,1,2,3,2,4,2,3,5,5,5,4
"564",0,2,1,1,3,2,3,3,2,3,4,3,4,4
"565",0,2,0,1,3,1,3,1,3,1,1,1,1,2
"566",0,2,0,1,2,5,5,5,4,5,2,3,3,3
"567",1,2,0,1,4,3,3,3,2,3,4,4,4,4
"568",0,2,1,1,4,4,4,5,3,3,4,4,4,5
"569",0,2,1,0,3,3,3,2,1,1,4,4,4,4
"570",0,2,1,0,4,4,4,5,3,2,3,4,5,4
"571",1,2,1,1,3,2,4,3,3,2,4,4,5,4
"572",1,2,1,1,2,2,2,4,1,1,5,4,5,5
"573",0,2,0,1,4,3,4,2,2,3,3,3,4,4
"574",0,2,1,0,3,2,2,2,2,2,2,2,3,4
"575",1,2,0,1,4,3,4,5,3,2,3,5,4,4
"576",1,2,1,1,1,1,2,3,1,2,4,4,4,3
"577",0,2,0,0,2,2,3,1,3,2,3,3,2,2
"578",0,2,1,1,1,2,2,4,2,1,5,5,5,5
"579",0,2,1,1,2,4,4,2,2,2,4,3,4,5
"580",0,2,1,1,4,4,2,2,4,4,2,2,3,2
"581",0,2,1,1,3,4,4,4,2,3,5,5,4,4
"582",1,2,0,1,1,1,1,1,1,1,3,3,1,1
"583",0,2,1,1,3,4,3,2,5,4,4,4,5,4
"584",0,2,0,1,4,3,4,3,4,3,3,4,4,4
"585",0,2,0,0,3,5,5,4,1,2,4,3,3,4
"586",0,2,1,1,4,5,5,4,3,4,4,3,5,4
"587",0,2,1,0,2,4,2,2,1,1,4,4,4,4
"588",0,2,1,1,1,2,1,4,1,3,5,3,4,3
"589",0,2,1,1,2,4,4,4,4,5,2,3,3,3
"590",1,2,0,1,2,3,2,3,3,2,4,4,4,4
"591",0,2,1,1,3,4,2,2,3,3,4,4,4,4
"592",0,2,1,1,3,1,4,3,2,2,3,3,4,4
"593",0,2,1,1,4,2,2,2,3,3,4,4,3,4
